OBJECTID,CASENUMBER,MODULENAME,CASEID,WORKCLASS,APPLICATIONDATE,PROJECTID,PROJECTNAME,GISHISTORYQUEUEID,SPATIALTYPE,SPATIALID,CASETYPE,CASEWORKCLASS,STATUS,DESCRIPTION,ISSUEDATE,EXPIREDATE,MAIN_ADDRESS_LINE1,MAIN_ADDRESS_LINE2,OWNER,BUSINESSPHONE,LASTCHANGEDON,SHAPE.AREA,SHAPE.LEN
418470,CPLN2021009108,PlanManagement,57f12cfe-e427-4761-ae3a-483f3a3832bb,Master Sign Plan,1638181833000.0, ,,e6652888-fdbc-4f72-9104-7944e29abe20,Parcel,16132411015,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Alma Apartments MSP,,,2030 OLYMPIC AVE,"HENDERSON, NV 89014","Town Center Development Group, LLC",7759010415,1638144000000.0,503858.695066925,3151.16181029717
418471,CPLN2022009598,PlanManagement,b1850c75-19a8-49b3-bf40-5b4a7f1ac006,Master Sign Plan,1644506978000.0, ,,9b7434b2-e662-40c8-952d-71026c3c6993,Parcel,16132310002,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Sunset Ridge Professional Plaza - The Perry Foundation MSP,,,2920 N GREEN VALLEY PKWY 7,"HENDERSON, NV 89014","Vision Sign, Inc.",7028957474249,1644451200000.0,25905.064187558,709.104703837045
418473,CPLN2022009598,PlanManagement,b1850c75-19a8-49b3-bf40-5b4a7f1ac006,Master Sign Plan,1644506978000.0, ,,9b7434b2-e662-40c8-952d-71026c3c6993,Parcel,16132310002,CD - Current Planning and Entitlements,Master Sign Plan,Approved,Sunset Ridge Professional Plaza - The Perry Foundation MSP,,,2920 N GREEN VALLEY PKWY 700,"HENDERSON, NV 89014","Vision Sign, Inc.",7028957474249,1648080000000.0,25905.064187558,709.104703837045
418474,CPLN2022010127,PlanManagement,ee441525-7b7b-460f-b7f8-7dc47d09a67a,Master Sign Plan,1650285609000.0, ,,450633ac-7ecb-4fc3-a8a9-c6300ed605ac,Parcel,17810401005,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Ventana Canyon Apartments MSP,,,1250 AMERICAN PACIFIC DR,"HENDERSON, NV 89074",Impact Sign & Graphics LLC,7025707777,1650240000000.0,628230.238024062,3210.91486984856
418477,CPLN2020005376,PlanManagement,f82e5604-b4f5-468a-a90f-f6078d28e9ae,Master Sign Plan,1588005033000.0, ,,5026707b-ae1c-4e6d-a629-557d003958bd,Parcel,17815511021,CD - Current Planning and Entitlements,Master Sign Plan,Pending,1005 American Pacific Drive,,,1005 AMERICAN PACIFIC DR,"HENDERSON, NV 89074",High Impact Sign,7023363336,1587945600000.0,64963.300812977104,1165.98834099626
418478,CPLN2020006170,PlanManagement,73873eed-c594-4024-ae97-088bda44e9fb,Master Sign Plan,1600698773000.0, ,,2fe4bc4d-e522-4f30-8367-a07ef67bdc9e,Parcel,17805501010,CD - Current Planning and Entitlements,Master Sign Plan,Pending,WOW Carwash Signage,,,4625 E SUNSET RD,"HENDERSON, NV 89014",Jones Sign Company,9204259848,1600646400000.0,62718.1864074562,1113.53488357843
418479,CPLN2020006175,PlanManagement,c53896ca-989b-4fef-b05b-46bb8fc0832a,Master Sign Plan,1600704396000.0, ,,54e36ace-aa94-4c74-8707-da4b27b75ec8,Parcel,19110701009,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Volunteer Plaza,,,3500 VOLUNTEER BLVD,"HENDERSON, NV 89044",Volunteer Plaza,7028687870,1600646400000.0,165843.86287207602,1824.0700435174301
418481,CPLN2020006176,PlanManagement,0edd3e85-4a91-4015-8139-13ab3cabf684,Master Sign Plan,1600704179000.0, ,,3f7f0d7f-8714-467f-9054-1838a9a733fc,Parcel,19114401002,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Inspirada Marketplace,,,2385 VIA INSPIRADA,"HENDERSON, NV",High Impact Sign,7023363336,1600646400000.0,235592.573792011,2886.2328998319404
418482,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
418483,CPLN2018001406,PlanManagement,1705c26b-b726-4338-b895-ef48cf81b587,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1535369692000.0, ,,65e5e919-1734-40ec-b73a-ad86facffde9,Parcel,17802701005,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Praxair,,,601 W SUNSET RD,"HENDERSON, NV 89011","Vision Sign, Inc.",7028957474249,1535328000000.0,125936.071753615,1526.2559403551702
418490,CPLN2022009479,PlanManagement,1818867a-0e1f-44df-af77-1bfde980a1a5,Master Sign Plan,1643098693000.0, ,QUAIL BONITA,6b6afdf5-55cf-422c-9d51-ee15b294636d,Parcel,17804614003,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Tommys Express Carwash,,,601 WHITNEY RANCH DR,"HENDERSON, NV 89014",Professional Sign Service LLC,,1643068800000.0,86571.9252866036,1197.20246906295
418491,CPLN2021008750,PlanManagement,39bb4ae2-f8b7-4066-8444-18a3e7007367,Master Sign Plan,1633367880000.0, ,,6b4b99f1-2697-42a3-ad5c-ae2f5c1aef8c,Parcel,17810110018,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Cyan at Green Valley MSP,,,1350 KELSO DUNES AVE,"HENDERSON, NV 89014",Avenue5 Residential,7025685252,1633305600000.0,616074.320386818,3206.33005745433
418492,SP-7-95,,,,,,VALLEY AUTO MALL,,,,,,,VALLEY AUTO MALL,,,300 AUTO MALL DR,,,,,158702.885835285,5769.7580581191105
418493,SP-7-95,,,,,,VALLEY AUTO MALL,,,,,,,VALLEY AUTO MALL,,,300 AUTO MALL DR,,,,,3890753.14418358,15916.975693535402
418494,CPLN2020004962,PlanManagement,faefe808-8ba5-425e-aab2-ec65bd3b9d29,Master Sign Plan,1582549578000.0, ,,34673793-c05d-4f60-a9d6-ec36cbacecdd,Parcel,17724412001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Storage One,,,3024 HARDIN DR,"HENDERSON, NV 89074","Vision Sign, Inc.",7028957474249,1582502400000.0,28203.423750216803,813.0560403821511
418495,CMSP1998SP0014,PlanManagement,C1F6FDE3-2B90-4654-A8C1-2573D292BCD0,21ce0a55-74f4-4564-bc2f-28fc972e7bce,896313600000.0,,VALLEY AUTOMALL,1331DF11-A9AD-4547-B580-C761A35F585A,Parcel,17811310014,CD - Current Planning and Entitlements,Master Sign Plan,Approved,VALLEY AUTO MALL,,897955200000.0,240 N GIBSON RD,"HENDERSON, NV 89014",,,1521504000000.0,4927446.29380041,17237.2757815352
418496,CPLN2019003367,PlanManagement,3427c7e2-c2d3-4b17-a674-6c6d10b0f4b4,Master Sign Plan,1561641688000.0, ,,d36b4a5b-bc52-4afd-8de4-afa19b988016,Parcel,17818217008,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Master Sign Plan - Amendment,,,2548 WIGWAM PKWY 140,"HENDERSON, NV 89074",The DoJANG,7022057625,1561593600000.0,7458.57076917065,403.659832531846
418497,Z-30-94,,,,,,BLACK MOUNTAIN BUSINESS PARK,,,,,,,BLACK MOUNTAIN BUSINESS PARK,,,380 AUTO MALL DR,,,,,488756.585333373,3200.00894194946
418498,CPLN2019004579,PlanManagement,4bf5ad29-eb19-4b62-a4a1-bff9af905c75,Master Sign Plan,1577709517000.0, ,,8334e458-3732-4615-baf7-7a1eb6ea14e6,Parcel,17735710011,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Aspire @ Sunridge Hts ,,,3161 SUNRIDGE HEIGHTS PKWY,"HENDERSON, NV 89052",Fusion Sign & Design,7029490760,1577664000000.0,502256.560427999,3257.4110332693
418499,CPLN2020005931,PlanManagement,84d397b2-1e67-4327-8703-257645700904,Master Sign Plan,1597048673000.0, ,,b35246fe-bd0c-4259-9015-28f7fb8402ee,Parcel,17725811005,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Jollibee Signage ,,,10485 S EASTERN AVE,"HENDERSON, NV 89052",National Signs ,7026456444,1597017600000.0,519939.999300768,4289.012895601771
418503,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
418506,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
418508,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
418509,CPLN2020006363,PlanManagement,2711ed52-3853-46cc-83b5-808387730eb9,Master Sign Plan,1603704656000.0, ,LAKE LAS VEGAS,7b2c1e66-d0ad-43f0-bd5a-0592fc958953,Parcel,16022620001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Reflection Bay Estates Park,,,15 REFLECTION BAY DR,"HENDERSON, NV 89011",Ryland Homes / Lennar,7024504907,1603670400000.0,7551.56520758765,371.97501558728203
418514,CPLN2020005504,PlanManagement,8d606740-6478-4d9d-b284-b3b154bebc0e,Master Sign Plan,1590503062000.0, ,,a172e04f-97db-425e-92ad-309c2cff59a8,Parcel,17811110005,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Digital Billboard Picutres ,,,360 N GIBSON RD,"HENDERSON, NV 89014",Brown Brown & Premsrirut,,1590451200000.0,236645.609618104,2078.71693772886
